especie;cenario;mlp;glmnet;brt;consenso
species;presente;0.5;0.925;0;0.47500000000000003
species;presente;0.4;0.925;0;0.4416666666666667
species;presente;0.425;0.95;0;0.4583333333333333
species;presente;0.275;0.525;0;0.26666666666666666
species;presente;0.275;0.5;0;0.25833333333333336
species;presente;0.275;0.475;0;0.25
species;presente;0.275;0.5;0;0.25833333333333336
species;presente;0.275;0.425;0;0.2333333333333333
species;presente;0.425;0.925;0;0.45
species;presente;0.575;0.625;0;0.39999999999999997
species;presente;0.275;0.5;0;0.25833333333333336
species;presente;0.25;0.375;0;0.20833333333333334
species;presente;0.45;0.925;0;0.4583333333333333
species;presente;0.55;0.675;0;0.4083333333333334
species;presente;0.575;0.675;0;0.4166666666666667
species;presente;0.25;0.475;0;0.24166666666666667
species;presente;0.25;0.425;0;0.225
species;presente;0.55;0.925;0;0.4916666666666667
species;presente;0.45;0.6;0;0.35000000000000003
species;presente;0.575;0.675;0;0.4166666666666667
species;presente;0.25;0.475;0;0.24166666666666667
species;presente;0.225;0.175;0;0.13333333333333333
species;presente;0.6;0.875;0;0.4916666666666667
species;presente;0.25;0.525;0;0.25833333333333336
species;presente;0.2;0.35;0;0.18333333333333335
species;presente;0.875;0.025;0;0.3
species;presente;0.825;0.025;0;0.2833333333333333
species;presente;0.575;0.775;0;0.45
species;presente;0.575;0.775;0;0.45
species;presente;0.2;0.475;0;0.225
species;presente;0.175;0.15;0;0.10833333333333332
species;presente;0.7;0;0;0.2333333333333333
species;presente;0.7;0;0;0.2333333333333333
species;presente;0.725;0;0;0.24166666666666667
species;presente;0.85;0.025;0;0.2916666666666667
species;presente;0.85;0.025;0;0.2916666666666667
species;presente;0.85;0.025;0;0.2916666666666667
species;presente;0.575;0.7;0;0.425
species;presente;0.2;0.55;0;0.25
species;presente;0.175;0.475;0;0.21666666666666665
species;presente;0.625;0;0;0.20833333333333334
species;presente;0.625;0;0;0.20833333333333334
species;presente;0.7;0;0;0.2333333333333333
species;presente;0.7;0;0;0.2333333333333333
species;presente;0.7;0;0;0.2333333333333333
species;presente;0.875;0.025;0;0.3
species;presente;0.875;0.025;0;0.3
species;presente;0.8;0.025;0;0.275
species;presente;0.875;0.025;0;0.3
species;presente;0.725;0.025;0;0.25
species;presente;0.75;0.025;0;0.25833333333333336
species;presente;0.475;0.8;0;0.425
species;presente;0.6;0.7;0;0.4333333333333333
species;presente;0.175;0.65;0;0.27499999999999997
species;presente;0.625;0;0;0.20833333333333334
species;presente;0.65;0;0;0.21666666666666667
species;presente;0.675;0;0;0.225
species;presente;0.7;0;0;0.2333333333333333
species;presente;0.7;0;0;0.2333333333333333
species;presente;0.775;0.025;0;0.26666666666666666
species;presente;0.85;0.025;0;0.2916666666666667
species;presente;0.875;0.025;0;0.3
species;presente;0.725;0.025;0;0.25
species;presente;0.875;0.025;0;0.3
species;presente;0.775;0.05;0;0.275
species;presente;0.725;0.025;0;0.25
species;presente;0.725;0;0;0.24166666666666667
species;presente;0.9;0.025;0;0.30833333333333335
species;presente;0.475;0.8;0;0.425
species;presente;0.45;0.8;0;0.4166666666666667
species;presente;0.15;0.7;0;0.2833333333333333
species;presente;0.125;0.475;0;0.19999999999999998
species;presente;0.625;0;0;0.20833333333333334
species;presente;0.6;0;0;0.19999999999999998
species;presente;0.6;0;0;0.19999999999999998
species;presente;0.625;0;0;0.20833333333333334
species;presente;0.65;0;0;0.21666666666666667
species;presente;0.65;0;0;0.21666666666666667
species;presente;0.775;0.025;0;0.26666666666666666
species;presente;0.8;0.025;0;0.275
species;presente;0.9;0.025;0;0.30833333333333335
species;presente;0.675;0;0;0.225
species;presente;0.825;0.025;0;0.2833333333333333
