species,decimalLongitude,decimalLatitude
Leporinus.agassizii,-54.706,-2.388
Leporinus.agassizii,-54.708,-2.443
Leporinus.agassizii,-54.706,-2.388
Leporinus.agassizii,-54.708,-2.443
Leporinus.agassizii,-55.867,-1.767
Leporinus.agassizii,-55.866,-1.766
Leporinus.agassizii,-55.867,-1.767
Leporinus.agassizii,-55.867,-1.767
Leporinus.agassizii,-58.024,-2.745
Leporinus.agassizii,-60.025,-2.034
Leporinus.agassizii,-58.024,-2.745
Leporinus.agassizii,-59.792,-3.213
Leporinus.agassizii,-59.792,-3.213
Leporinus.agassizii,-65.344,-4.85
Leporinus.agassizii,-65.392,-4.862
Leporinus.agassizii,-65.116,-4.791
Leporinus.agassizii,-63.141,-4.085
Leporinus.agassizii,-65.308,-4.894
Leporinus.agassizii,-65.392,-4.862
Leporinus.agassizii,-65.344,-4.85
Leporinus.agassizii,-65.116,-4.791
Leporinus.agassizii,-65.308,-4.894
Leporinus.agassizii,-54.912,-1.597
Leporinus.agassizii,-54.842,-1.484
Leporinus.agassizii,-54.842,-1.484
Leporinus.agassizii,-54.912,-1.597
Leporinus.agassizii,-54.3,-2.817
Leporinus.agassizii,-54.5,-2.95
Leporinus.agassizii,-54.886,-3.34
Leporinus.agassizii,-54.886,-3.34
Leporinus.agassizii,-64.667,-3.25
Leporinus.agassizii,-64.792,-3.112
Leporinus.agassizii,-69.058,-1.848
Leporinus.agassizii,-69.14,-1.723
Leporinus.agassizii,-69.128,-1.714
Leporinus.agassizii,-69.629,-2.118
Leporinus.agassizii,-64.784,-3.112
Leporinus.agassizii,-64.792,-3.112
Leporinus.agassizii,-64.883,-3.027
Leporinus.agassizii,-69.128,-1.714
Leporinus.agassizii,-69.058,-1.848
Leporinus.agassizii,-69.14,-1.723
Leporinus.agassizii,-66.6,-1.833
Leporinus.agassizii,-69.45,-1.583
Leporinus.agassizii,-69.417,-1.383
Leporinus.agassizii,-71.61,-0.94
Leporinus.agassizii,-72.55,-1.15
Leporinus.agassizii,-69.724,-1.293
Leporinus.agassizii,-69.417,-1.383
Leporinus.agassizii,-69.417,-1.383
Leporinus.agassizii,-72.511,-0.562
Leporinus.agassizii,-72.367,-0.623
Leporinus.agassizii,-72.25,-0.632
Leporinus.agassizii,-73.017,-0.733
Leporinus.agassizii,-69.487,-1.146
Leporinus.agassizii,-69.634,-0.564
Leporinus.agassizii,-69.503,-1.09
Leporinus.agassizii,-69.487,-1.146
Leporinus.agassizii,-72.283,-0.4
Leporinus.agassizii,-72.267,-0.383
Leporinus.agassizii,-72.283,-0.4
Leporinus.agassizii,-72.328,-0.542
Leporinus.agassizii,-72.553,0.073
Leporinus.agassizii,-72.509,0.079
Leporinus.agassizii,-72.426,-0.243
Leporinus.agassizii,-72.112,-0.021
Leporinus.agassizii,-70.089,-4.438
Leporinus.agassizii,-70.032,-4.366
Leporinus.agassizii,-70.089,-4.438
Leporinus.agassizii,-70.779,-4.177
Leporinus.agassizii,-70.793,-4.185
Leporinus.agassizii,-70.935,-4.389
Leporinus.agassizii,-70.292,-4.294
Leporinus.agassizii,-70.271,-4.299
Leporinus.agassizii,-70.936,-4.385
Leporinus.agassizii,-70.793,-4.185
Leporinus.agassizii,-70.292,-4.294
Leporinus.agassizii,-70.779,-4.177
Leporinus.agassizii,-70.271,-4.299
Leporinus.agassizii,-70.936,-4.385
Leporinus.agassizii,-70.793,-4.185
Leporinus.agassizii,-70.292,-4.294
Leporinus.agassizii,-70.779,-4.177
Leporinus.agassizii,-70.271,-4.299
Leporinus.agassizii,-72.412,-4.87
Leporinus.agassizii,-71.955,-4.594
Leporinus.agassizii,-71.854,-4.515
Leporinus.agassizii,-71.955,-4.594
Leporinus.agassizii,-72.412,-4.87
Leporinus.agassizii,-70.286,-4.491
Leporinus.agassizii,-70.282,-4.497
Leporinus.agassizii,-70.285,-4.508
Leporinus.agassizii,-70.27,-4.363
Leporinus.agassizii,-70.286,-4.491
Leporinus.agassizii,-70.285,-4.508
Leporinus.agassizii,-70.282,-4.497
Leporinus.agassizii,-70.285,-4.508
Leporinus.agassizii,-70.286,-4.491
Leporinus.agassizii,-70.282,-4.497
Leporinus.agassizii,-70.27,-4.363
Leporinus.agassizii,-72.883,-7.567
Leporinus.agassizii,-72.683,-7.633
Leporinus.agassizii,-72.683,-7.633
Leporinus.agassizii,-72.883,-7.567
Leporinus.agassizii,-67.338,-3.241
Leporinus.agassizii,-67.405,-3.207
Leporinus.agassizii,-66.767,-2.733
Leporinus.agassizii,-58.91,-3.55
Leporinus.agassizii,-60.366,-3.828
Leporinus.agassizii,-60.366,-3.828
Leporinus.agassizii,-61.51,-4.837
Leporinus.agassizii,-60.366,-3.828
Leporinus.agassizii,-60.366,-3.828
Leporinus.agassizii,-61.51,-4.837
Leporinus.agassizii,-58.779,-3.933
Leporinus.agassizii,-58.779,-3.933
Leporinus.agassizii,-58.779,-3.933
Leporinus.agassizii,-58.779,-3.933
Leporinus.agassizii,-59.459,-10.167
Leporinus.agassizii,-60.4,-5.14
Leporinus.agassizii,-65.641,-14.996
Leporinus.agassizii,-74.883,-5
Leporinus.agassizii,-74.917,-5.017
Leporinus.agassizii,-74.883,-5
Leporinus.agassizii,-74.917,-5.017
Leporinus.agassizii,-76.183,-2.55
Leporinus.agassizii,-76.233,-2.533
Leporinus.agassizii,-76.422,-3.7
Leporinus.agassizii,-75.205,-1.587
Leporinus.agassizii,-74.825,-2.099
Leporinus.agassizii,-76.652,-1.104
Leporinus.agassizii,-75.017,-1.845
Leporinus.agassizii,-75.6,-1.567
Leporinus.agassizii,-73.168,-3.515
Leporinus.agassizii,-75.483,-1
Leporinus.agassizii,-75.435,-0.977
Leporinus.agassizii,-76.883,-0.742
Leporinus.agassizii,-75.517,-0.817
Leporinus.agassizii,-75.523,-1.005
Leporinus.agassizii,-75.453,-0.995
Leporinus.agassizii,-75.427,-0.985
Leporinus.agassizii,-75.435,-0.977
Leporinus.agassizii,-75.517,-0.817
Leporinus.agassizii,-75.523,-1.005
Leporinus.agassizii,-76.883,-0.742
Leporinus.agassizii,-75.483,-1
Leporinus.agassizii,-75.786,-0.757
Leporinus.agassizii,-75.45,-0.996
Leporinus.agassizii,-75.322,-0.46
Leporinus.agassizii,-75.453,-0.995
Leporinus.agassizii,-75.427,-0.985
Leporinus.agassizii,-75.427,-0.985
Leporinus.agassizii,-75.453,-0.995
Leporinus.agassizii,-60.092,-3.208
Leporinus.agassizii,-60.02,-3.219
Leporinus.agassizii,-61.467,-1.633
Leporinus.agassizii,-61.459,-1.515
Leporinus.agassizii,-60.024,-3.142
Leporinus.agassizii,-60.329,-3.058
Leporinus.agassizii,-60.944,-2.621
Leporinus.agassizii,-60.025,-3.102
Leporinus.agassizii,-60.083,-3.009
Leporinus.agassizii,-60.7,-2.717
Leporinus.agassizii,-60.02,-3.219
Leporinus.agassizii,-60.024,-3.142
Leporinus.agassizii,-60.775,-2.558
Leporinus.agassizii,-60.092,-3.208
Leporinus.agassizii,-61.467,-1.633
