"","modelID","AUC","COR","threshold","sensitivity","specificity","TSS","Kappa"
"1",1,0.931,0.653,0.588326811790466,0.88,0.88,0.76,0.76
"2",2,0.906,0.691,0.600916862487793,0.88,0.92,0.8,0.8
"3",3,0.857,0.616,0.591906607151031,0.76,0.84,0.6,0.6
"4",4,0.813,0.546,0.525330245494843,0.84,0.76,0.6,0.6
"5",5,0.973,0.79,0.556743144989014,0.96,0.92,0.88,0.88
"6",6,0.9,0.705,0.40200936794281,0.96,0.8,0.76,0.76
"7",7,0.901,0.691,0.570584654808044,0.88,0.84,0.72,0.72
"8",8,0.859,0.617,0.659156620502472,0.72,0.92,0.64,0.64
"9",9,0.846,0.598,0.379431843757629,0.96,0.68,0.64,0.64
"10",10,0.857,0.625,0.507136940956116,0.92,0.72,0.64,0.64
"11",11,0.838,0.594,0.553845465183258,0.792,0.792,0.583,0.583
"12",12,0.78,0.484,0.393354117870331,0.917,0.542,0.458,0.458
"13",13,0.837,0.553,0.353624016046524,0.917,0.667,0.583,0.583
"14",14,0.818,0.536,0.538083970546722,0.792,0.792,0.583,0.583
"15",15,0.863,0.629,0.288817405700684,0.917,0.708,0.625,0.625
"16",16,0.891,0.685,0.734007120132446,0.75,0.958,0.708,0.708
"17",17,0.971,0.796,0.523816704750061,0.958,0.917,0.875,0.875
"18",18,0.837,0.577,0.61312735080719,0.792,0.75,0.542,0.542
"19",19,0.943,0.643,0.693957090377808,0.875,0.958,0.833,0.833
"20",20,0.854,0.63,0.63561475276947,0.833,0.875,0.708,0.708
"21",21,0.854,0.609,0.699273705482483,0.75,0.917,0.667,0.667
"22",22,0.903,0.565,0.641099512577057,0.75,0.917,0.667,0.667
"23",23,0.918,0.681,0.466420471668243,0.958,0.792,0.75,0.75
"24",24,0.917,0.705,0.480315685272217,0.917,0.75,0.667,0.667
"25",25,0.872,0.606,0.682675957679749,0.833,0.917,0.75,0.75
"26",26,0.837,0.571,0.745180130004883,0.583,1,0.583,0.583
"27",27,0.865,0.619,0.436575710773468,0.958,0.708,0.667,0.667
"28",28,0.835,0.533,0.586363673210144,0.875,0.708,0.583,0.583
"29",29,0.905,0.655,0.527922987937927,0.875,0.875,0.75,0.75
"30",30,0.929,0.724,0.601093769073486,0.917,0.875,0.792,0.792
"31",31,0.844,0.599,0.598216772079468,0.75,0.875,0.625,0.625
"32",32,0.901,0.616,0.446920454502106,0.958,0.875,0.833,0.833
"33",33,0.842,0.546,0.674153208732605,0.792,0.792,0.583,0.583
"34",34,0.917,0.667,0.565751850605011,0.917,0.792,0.708,0.708
"35",35,0.915,0.68,0.546510517597198,0.875,0.833,0.708,0.708
"36",36,0.863,0.617,0.492123603820801,0.917,0.833,0.75,0.75
"37",37,0.783,0.491,0.57813286781311,0.75,0.75,0.5,0.5
"38",38,0.621,0.156,0.152076482772827,0.708,0.667,0.375,0.375
"39",39,0.903,0.681,0.540441036224365,0.875,0.875,0.75,0.75
"40",40,0.857,0.606,0.450786530971527,0.875,0.708,0.583,0.583
"41",41,0.912,0.722,0.554586045621429,0.8,0.92,0.72,0.72
