species;scenario;rbf;svm;mda;consensus;wmean_auc;wmean_tss
clssm_mcrp;current;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;current;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;current;0.1;0;0;0.03333333333333333;0.029238333333333335;0.022641666666666668
clssm_mcrp;current;0.05;0;0;0.016666666666666666;0.014619166666666667;0.011320833333333334
clssm_mcrp;current;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0.075;0;0;0.024999999999999998;0.021928749999999997;0.01698125
clssm_mcrp;current;0.1;0;0;0.03333333333333333;0.029238333333333335;0.022641666666666668
clssm_mcrp;current;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;current;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;current;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0.1;0;0;0.03333333333333333;0.029238333333333335;0.022641666666666668
clssm_mcrp;current;0.1;0;0;0.03333333333333333;0.029238333333333335;0.022641666666666668
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;current;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;current;0.025;0;0.025;0.016666666666666666;0.014327708333333333;0.01085
clssm_mcrp;current;0.3;0.175;0.65;0.375;0.32150791666666667;0.242729375
clssm_mcrp;current;0.175;0;0.05;0.075;0.06520333333333332;0.050002083333333336
clssm_mcrp;current;0.2;0;0;0.06666666666666667;0.05847666666666667;0.045283333333333335
clssm_mcrp;current;0.225;0;0;0.075;0.06578625;0.05094375
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;current;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;current;0.275;0.225;0.825;0.44166666666666665;0.3779885416666667;0.28478895833333334
clssm_mcrp;current;0.5;0.45;0.95;0.6333333333333333;0.5448504166666667;0.41294875
clssm_mcrp;current;0.95;0.125;0.45;0.5083333333333333;0.44074875;0.33699062500000004
clssm_mcrp;current;0.15;0;0;0.049999999999999996;0.043857499999999994;0.0339625
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0.25;0;0.075;0.10833333333333334;0.09415020833333333;0.07217291666666667
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;current;0.05;0.15;0;0.06666666666666667;0.058609166666666664;0.045499583333333336
clssm_mcrp;current;0.45;0;0.225;0.225;0.194735625;0.14859375
clssm_mcrp;current;0.55;0;0.525;0.3583333333333334;0.30819145833333333;0.2335104166666667
clssm_mcrp;current;0.975;0.725;1;0.9;0.7784170833333333;0.593536875
clssm_mcrp;current;0.925;0.1;0.35;0.4583333333333333;0.39803499999999997;0.3048754166666667
clssm_mcrp;current;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;current;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;current;0.05;0;0;0.016666666666666666;0.014619166666666667;0.011320833333333334
clssm_mcrp;current;0.375;0;0.15;0.17500000000000002;0.15175249999999998;0.11604375
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;current;0.2;0.25;0.125;0.19166666666666665;0.16688395833333333;0.12819583333333331
clssm_mcrp;current;0.1;0;0.1;0.06666666666666667;0.05731083333333333;0.0434
clssm_mcrp;current;0.875;0;0.4;0.425;0.3681254166666667;0.28114791666666666
clssm_mcrp;current;0.975;0.925;0.95;0.9499999999999998;0.8230341666666666;0.6287293749999999
clssm_mcrp;current;0.95;0.95;0.675;0.8583333333333334;0.745856875;0.57168
clssm_mcrp;current;0.025;0.025;0;0.016666666666666666;0.01464125;0.011356875
clssm_mcrp;current;0.025;0.025;0.025;0.025000000000000005;0.021659374999999998;0.016546458333333333
clssm_mcrp;current;0.025;0;0.075;0.03333333333333333;0.02836395833333333;0.021229166666666664
clssm_mcrp;current;0.1;0;0.275;0.125;0.10643770833333334;0.07972708333333334
clssm_mcrp;current;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;current;0.025;0.05;0.325;0.13333333333333333;0.11320854166666668;0.08451791666666668
clssm_mcrp;current;0.025;0;0.05;0.025000000000000005;0.02134583333333333;0.016039583333333333
clssm_mcrp;current;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0.025;0;0.075;0.03333333333333333;0.02836395833333333;0.021229166666666664
clssm_mcrp;current;0.8;0.075;0.4;0.425;0.3681916666666667;0.2812560416666667
clssm_mcrp;current;0.825;0.1;0.4;0.44166666666666665;0.38283291666666663;0.2926129166666666
clssm_mcrp;current;0.975;0.975;0.95;0.9666666666666667;0.8376975;0.6401222916666667
clssm_mcrp;current;0.95;0.975;0.85;0.9249999999999999;0.8023154166666667;0.6137035416666667
clssm_mcrp;current;0.925;0.975;0.85;0.9166666666666666;0.7950058333333333;0.608043125
clssm_mcrp;current;0.425;0.725;0.4;0.5166666666666666;0.44917124999999997;0.34445770833333333
clssm_mcrp;current;0.975;0.975;0.925;0.9583333333333334;0.830679375;0.6349327083333334
clssm_mcrp;current;0.7;0.55;0.85;0.7000000000000001;0.60458125;0.4602595833333334
clssm_mcrp;current;0.025;0;0.075;0.03333333333333333;0.02836395833333333;0.021229166666666664
clssm_mcrp;current;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0.025;0;0.025;0.016666666666666666;0.014327708333333333;0.01085
clssm_mcrp;current;0.2;0.075;0.4;0.225;0.19276166666666664;0.14540604166666668
clssm_mcrp;current;0.075;0;0.125;0.06666666666666667;0.057019375000000004;0.042929166666666664
clssm_mcrp;current;0.05;0;0.025;0.025000000000000005;0.02163729166666667;0.016510416666666666
clssm_mcrp;current;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0.025;0.025;0.425;0.15833333333333333;0.133949375;0.09957979166666668
clssm_mcrp;current;0.5;0.05;0.975;0.5083333333333333;0.434561875;0.326995
clssm_mcrp;current;0.175;0;0.675;0.2833333333333334;0.24065645833333335;0.1797416666666667
clssm_mcrp;current;0.95;0.925;0.95;0.9416666666666668;0.8157245833333334;0.6230689583333334
clssm_mcrp;current;0.95;0.925;0.85;0.9083333333333333;0.7876520833333335;0.602310625
clssm_mcrp;current;0.25;0.55;0.65;0.4833333333333334;0.41686375000000003;0.31685541666666667
clssm_mcrp;current;0.975;1;0.975;0.9833333333333334;0.8520472916666666;0.6510083333333333
clssm_mcrp;current;0.975;1;0.975;0.9833333333333334;0.8520472916666666;0.6510083333333333
clssm_mcrp;current;0.9;1;0.975;0.9583333333333334;0.8301185416666667;0.6340270833333334
clssm_mcrp;current;0.575;0.925;0.925;0.8083333333333332;0.6990627083333334;0.5329731249999999
clssm_mcrp;current;0;0;0.15;0.049999999999999996;0.04210875;0.0311375
clssm_mcrp;current;0.475;0.45;0.225;0.38333333333333336;0.33401520833333337;0.25679041666666674
clssm_mcrp;current;0.6;0.55;0.125;0.425;0.37181729166666666;0.28712000000000004
clssm_mcrp;current;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;current;0.5;0.05;0.125;0.225;0.195945625;0.15054916666666665
clssm_mcrp;current;0.6;0.525;0.275;0.4666666666666666;0.406594375;0.3125610416666667
clssm_mcrp;current;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;current;0.275;0.425;0.075;0.2583333333333333;0.226098125;0.17467312499999998
clssm_mcrp;current;0.025;0.025;0;0.016666666666666666;0.01464125;0.011356875
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;current;0.05;0;0;0.016666666666666666;0.014619166666666667;0.011320833333333334
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0.875;0.8;1;0.8916666666666666;0.77117375;0.5879845833333334
clssm_mcrp;current;0.95;0.875;1;0.9416666666666668;0.8150974999999999;0.6220552083333333
clssm_mcrp;current;0.975;1;0.975;0.9833333333333334;0.8520472916666666;0.6510083333333333
clssm_mcrp;current;0.95;0.975;0.9;0.9416666666666665;0.8163516666666668;0.6240827083333335
clssm_mcrp;current;0.975;1;0.975;0.9833333333333334;0.8520472916666666;0.6510083333333333
clssm_mcrp;current;0.925;0.95;0.975;0.9500000000000001;0.8227647916666666;0.6282945833333334
clssm_mcrp;current;0.9;1;1;0.9666666666666667;0.8371366666666668;0.6392166666666667
clssm_mcrp;current;0.975;1;1;0.9916666666666667;0.8590654166666667;0.6561979166666667
clssm_mcrp;current;0.3;0.575;0.85;0.5750000000000001;0.49495958333333334;0.37538937499999997
clssm_mcrp;current;0;0;0.025;0.008333333333333333;0.007018125;0.005189583333333333
clssm_mcrp;current;0;0;0.025;0.008333333333333333;0.007018125;0.005189583333333333
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0.625;0.65;0.1;0.4583333333333333;0.40143541666666666;0.3103766666666667
clssm_mcrp;current;0.6;0.325;0.05;0.325;0.2847779166666667;0.22028312500000002
clssm_mcrp;current;0.05;0;0;0.016666666666666666;0.014619166666666667;0.011320833333333334
clssm_mcrp;current;0.25;0.275;0.05;0.19166666666666668;0.16778041666666668;0.129644375
clssm_mcrp;current;0.275;0.425;0.025;0.24166666666666667;0.21206187499999998;0.16429395833333335
clssm_mcrp;current;0.65;0.975;0.15;0.5916666666666667;0.5180929166666667;0.40047020833333336
clssm_mcrp;current;0.025;0.025;0.025;0.025000000000000005;0.021659374999999998;0.016546458333333333
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0;0;0;0;0;0
clssm_mcrp;current;0.525;0;0.125;0.21666666666666667;0.188591875;0.14481666666666668
clssm_mcrp;current;0.8;0.3;0.425;0.5083333333333334;0.4411947916666667;0.33771375
clssm_mcrp;current;0.05;0;0.1;0.05000000000000001;0.04269166666666666;0.032079166666666666
clssm_mcrp;current;0.425;0.05;0.625;0.3666666666666667;0.31437937499999996;0.23735958333333332
clssm_mcrp;current;0.075;0.1;0.25;0.14166666666666666;0.12143666666666668;0.09166291666666666
clssm_mcrp;current;0.925;0.975;0.925;0.9416666666666668;0.8160602083333334;0.623611875
