species;scenario;rbf;svm;mda;consensus;wmean_auc;wmean_tss
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;gg_ssp245_10_2090;0.075;0;0;0.024999999999999998;0.021928749999999997;0.01698125
clssm_mcrp;gg_ssp245_10_2090;0.1;0;0;0.03333333333333333;0.029238333333333335;0.022641666666666668
clssm_mcrp;gg_ssp245_10_2090;0.05;0;0;0.016666666666666666;0.014619166666666667;0.011320833333333334
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;gg_ssp245_10_2090;0.175;0;0;0.05833333333333333;0.05116708333333333;0.03962291666666667
clssm_mcrp;gg_ssp245_10_2090;0.1;0;0;0.03333333333333333;0.029238333333333335;0.022641666666666668
clssm_mcrp;gg_ssp245_10_2090;0.05;0;0;0.016666666666666666;0.014619166666666667;0.011320833333333334
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0.125;0;0;0.041666666666666664;0.036547916666666666;0.028302083333333335
clssm_mcrp;gg_ssp245_10_2090;0.1;0;0;0.03333333333333333;0.029238333333333335;0.022641666666666668
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0.1;0.041666666666666664;0.035382083333333335;0.02641875
clssm_mcrp;gg_ssp245_10_2090;0.3;0.275;0.925;0.5;0.4280339583333334;0.32260062500000003
clssm_mcrp;gg_ssp245_10_2090;0.175;0;0.05;0.075;0.06520333333333332;0.050002083333333336
clssm_mcrp;gg_ssp245_10_2090;0.25;0;0;0.08333333333333333;0.07309583333333333;0.05660416666666667
clssm_mcrp;gg_ssp245_10_2090;0.225;0;0.025;0.08333333333333333;0.07280437499999999;0.056133333333333334
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0.025;0.016666666666666666;0.014327708333333333;0.01085
clssm_mcrp;gg_ssp245_10_2090;0.275;0.375;0.95;0.5333333333333333;0.4570691666666667;0.344915625
clssm_mcrp;gg_ssp245_10_2090;0.525;0.4;0.975;0.6333333333333333;0.5445147916666667;0.41240583333333336
clssm_mcrp;gg_ssp245_10_2090;0.975;0.25;0.925;0.7166666666666668;0.6180610416666666;0.4697354166666667
clssm_mcrp;gg_ssp245_10_2090;0.225;0;0.05;0.09166666666666667;0.0798225;0.06132291666666667
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;gg_ssp245_10_2090;0.35;0;0.225;0.19166666666666665;0.16549729166666666;0.12595208333333333
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;gg_ssp245_10_2090;0.075;0.375;0.025;0.15833333333333335;0.138921875;0.10761770833333334
clssm_mcrp;gg_ssp245_10_2090;0.575;0.35;0.75;0.5583333333333332;0.48130749999999994;0.3656275
clssm_mcrp;gg_ssp245_10_2090;0.55;0;0.925;0.4916666666666667;0.42048145833333334;0.31654375000000007
clssm_mcrp;gg_ssp245_10_2090;0.975;0.7;1;0.8916666666666666;0.7710854166666666;0.5878404166666668
clssm_mcrp;gg_ssp245_10_2090;0.95;0.325;0.9;0.725;0.6257283333333333;0.47597479166666673
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;gg_ssp245_10_2090;0.05;0;0.1;0.05000000000000001;0.04269166666666666;0.032079166666666666
clssm_mcrp;gg_ssp245_10_2090;0.475;0;0.625;0.3666666666666667;0.31433520833333334;0.2372875
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0.275;0.775;0.4;0.4833333333333334;0.4199770833333334;0.321888125
clssm_mcrp;gg_ssp245_10_2090;0.2;0.025;0.325;0.18333333333333335;0.15704395833333334;0.118444375
clssm_mcrp;gg_ssp245_10_2090;0.9;0.325;0.95;0.725;0.6251454166666667;0.47503312499999995
clssm_mcrp;gg_ssp245_10_2090;0.975;0.9;0.975;0.9500000000000001;0.822720625;0.6282225
clssm_mcrp;gg_ssp245_10_2090;0.95;0.95;0.975;0.9583333333333334;0.830074375;0.6339549999999999
clssm_mcrp;gg_ssp245_10_2090;0.025;0.125;0.125;0.09166666666666667;0.07905854166666666;0.06009062500000001
clssm_mcrp;gg_ssp245_10_2090;0.025;0.2;0.175;0.13333333333333333;0.11508979166666666;0.08755916666666667
clssm_mcrp;gg_ssp245_10_2090;0.025;0.05;0.325;0.13333333333333333;0.11320854166666668;0.08451791666666668
clssm_mcrp;gg_ssp245_10_2090;0.125;0.175;0.95;0.4166666666666667;0.3545583333333333;0.2653814583333333
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;gg_ssp245_10_2090;0.025;0.35;0.35;0.24166666666666667;0.20820666666666665;0.15806499999999998
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0.025;0.016666666666666666;0.014327708333333333;0.01085
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0.025;0.016666666666666666;0.014327708333333333;0.01085
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0;0.008333333333333333;0.007309583333333334;0.005660416666666667
clssm_mcrp;gg_ssp245_10_2090;0;0;0;0;0;0
clssm_mcrp;gg_ssp245_10_2090;0.025;0;0.1;0.041666666666666664;0.035382083333333335;0.02641875
clssm_mcrp;gg_ssp245_10_2090;0.85;0.725;0.95;0.8416666666666667;0.7278329166666667;0.5548556250000001
clssm_mcrp;gg_ssp245_10_2090;0.85;0.725;0.95;0.8416666666666667;0.7278329166666667;0.5548556250000001
clssm_mcrp;gg_ssp245_10_2090;0.975;1;0.975;0.9833333333333334;0.8520472916666666;0.6510083333333333
clssm_mcrp;gg_ssp245_10_2090;0.95;0.975;0.975;0.9666666666666667;0.8374060416666667;0.6396514583333334
clssm_mcrp;gg_ssp245_10_2090;0.95;1;0.975;0.975;0.8447377083333333;0.6453479166666667
clssm_mcrp;gg_ssp245_10_2090;0.5;0.875;0.925;0.7666666666666666;0.662470625;0.5045989583333333
clssm_mcrp;gg_ssp245_10_2090;0.975;1;0.975;0.9833333333333334;0.8520472916666666;0.6510083333333333
clssm_mcrp;gg_ssp245_10_2090;0.725;0.95;0.975;0.8833333333333333;0.7642881249999999;0.58301125
clssm_mcrp;gg_ssp245_10_2090;0;0.025;0.1;0.041666666666666664;0.03540416666666667;0.026454791666666668
clssm_mcrp;gg_ssp245_10_2090;0;0;0.025;0.008333333333333333;0.007018125;0.005189583333333333
clssm_mcrp;gg_ssp245_10_2090;0;0;0.025;0.008333333333333333;0.007018125;0.005189583333333333
