"","freq_mean","pa_mean","pa_sums"
"1",0,0,0
"2",0.059375,0,0
"3",0.13125,0,0
"4",0,0,0
"5",0,0,0
"6",0.00625,0,0
"7",0.1375,0,0
"8",0.175,0,0
"9",0.078125,0,0
"10",0.0375,0,0
"11",0,0,0
"12",0,0,0
"13",0.00625,0,0
"14",0.00625,0,0
"15",0.221875,0,0
"16",0.196875,0,0
"17",0.053125,0,0
"18",0,0,0
"19",0,0,0
"20",0.0125,0,0
"21",0.3625,0,0
"22",0.221875,0,0
"23",0.278125,0,0
"24",0.28125,0,0
"25",0.025,0,0
"26",0,0,0
"27",0.0375,0,0
"28",0.39375,0.25,0.25
"29",0.49375,0.25,0.25
"30",0.58125,0,0
"31",0.21875,0,0
"32",0.03125,0,0
"33",0.0625,0,0
"34",0.275,0,0
"35",0.003125,0,0
"36",0,0,0
"37",0.15,0,0
"38",0.4625,0.25,0.25
"39",0.40625,0,0
"40",0.64375,0.25,0.25
"41",0.55,0,0
"42",0.046875,0,0
"43",0.046875,0,0
"44",0.115625,0,0
"45",0.321875,0,0
"46",0.003125,0,0
"47",0.003125,0,0
"48",0.003125,0,0
"49",0.003125,0,0
"50",0,0,0
"51",0.39375,0,0
"52",0.2375,0,0
"53",0.584375,0,0
"54",0.709375,0.5,0.5
"55",0.646875,0.25,0.25
"56",0.06875,0,0
"57",0.090625,0,0
"58",0.1,0,0
"59",0.228125,0,0
"60",0.034375,0,0
"61",0.075,0,0
"62",0.04375,0,0
"63",0.03125,0,0
"64",0.003125,0,0
"65",0.00625,0,0
"66",0.003125,0,0
"67",0.003125,0,0
"68",0.00625,0,0
"69",0,0,0
"70",0.034375,0,0
"71",0.6125,0.5,0.5
"72",0.56875,0,0
"73",0.734375,0.5,0.5
"74",0.68125,0.5,0.5
"75",0.65,0.5,0.5
"76",0.34375,0,0
"77",0.684375,0.5,0.5
"78",0.453125,0.25,0.25
"79",0.04375,0,0
"80",0.028125,0,0
"81",0.0125,0,0
"82",0.090625,0,0
"83",0.178125,0,0
"84",0.1375,0,0
"85",0.128125,0,0
"86",0.053125,0,0
"87",0.003125,0,0
"88",0.00625,0,0
"89",0.01875,0,0
"90",0.003125,0,0
"91",0.05625,0,0
"92",0.21875,0,0
"93",0.25625,0,0
"94",0.69375,0.5,0.5
"95",0.63125,0.25,0.25
"96",0.390625,0,0
"97",0.7375,0.5,0.5
"98",0.746875,0.5,0.5
"99",0.690625,0.5,0.5
"100",0.453125,0.5,0.5
"101",0.034375,0,0
"102",0.31875,0,0
"103",0.34375,0,0
"104",0.075,0,0
"105",0.225,0,0
"106",0.25,0,0
"107",0.025,0,0
"108",0.29375,0,0
"109",0.146875,0,0
"110",0.003125,0,0
"111",0.009375,0,0
"112",0.0625,0,0
"113",0.084375,0,0
"114",0.01875,0,0
"115",0.365625,0,0
"116",0.575,0,0
"117",0.775,0.5,0.5
"118",0.690625,0.5,0.5
"119",0.746875,0.5,0.5
"120",0.628125,0.25,0.25
"121",0.71875,0.5,0.5
"122",0.759375,0.5,0.5
"123",0.328125,0,0
"124",0.040625,0,0
"125",0.05625,0,0
"126",0.04375,0,0
"127",0.403125,0,0
"128",0.3125,0,0
"129",0.0875,0,0
"130",0.2125,0,0
"131",0.253125,0,0
"132",0.475,0,0
"133",0.125,0,0
"134",0.015625,0,0
"135",0.003125,0,0
"136",0.265625,0,0
"137",0.465625,0,0
"138",0.178125,0,0
"139",0.365625,0,0
"140",0.225,0,0
"141",0.740625,0.5,0.5
"142",0.765625,0.5,0.5
"143",0.740625,0.5,0.5
"144",0.74375,0.5,0.5
"145",0.678125,0.5,0.5
"146",0.109375,0,0
"147",0.025,0,0
"148",0.153125,0,0
"149",0.165625,0,0
"150",0.059375,0,0
"151",0.596875,0.5,0.5
"152",0.471875,0.25,0.25
"153",0.028125,0,0
"154",0.290625,0,0
"155",0.196875,0,0
"156",0.59375,0.25,0.25
"157",0.346875,0,0
"158",0.203125,0,0
"159",0.00625,0,0
"160",0.0125,0,0
"161",0.34375,0,0
